data;totale;settore
20130101;613.97;Calcio
20140204;205.26;Pesca
20140707;412.17;Fitness
20140822;656.67;Fitness
20140926;1065.54;Fitness
20141122;149.80;Pattini
20141202;247.39;Calcio
20141209;268.45;Pesca
20141210;309.75;Basket
20150110;1156.40;Pesca
20150111;825.17;Casual
20150119;61.95;Calcio
20150119;371.70;Casual
20150119;697.97;Fitness
20150119;164.37;Pesca
20150119;61.95;Running
20150126;301.28;Pesca
20150201;246.97;Calcio
20150224;1486.80;Pesca
20150225;82.19;Fitness
20150303;2213.68;Running
20150306;329.99;Fitness
20150309;1239.00;Casual
20150312;664.93;Casual
20150315;732.04;Calcio
20150317;805.35;Fitness
20150318;1643.74;Fitness
20150319;138.36;Nuoto
20150319;908.60;Running
20150325;1065.54;Fitness
20150325;1800.68;Pesca
20150326;185.85;Casual
20150327;660.39;Casual
20150327;206.50;Snowboard
20150327;309.75;Trekking
20150331;28.50;Arti marziali
20150331;206.50;Calcio
20150331;6534.49;Casual
20150331;1253.87;Fitness
20150406;144.55;Casual
20150406;3295.74;Fitness
20150407;313.88;Casual
20150408;867.30;Calcio
20150409;412.59;Casual
20150410;1300.95;Calcio
20150410;871.02;Casual
20150410;206.09;Fitness
20150411;103.25;Calcio
20150411;135.46;Pesca
20150413;681.04;Calcio
20150413;1239.00;Running
20150414;497.67;Calcio
20150414;742.57;Casual
20150414;570.77;Pesca
20150415;664.52;Calcio
20150415;4101.09;Casual
20150415;748.36;Pesca
20150415;1957.62;Running
20150415;136.29;Snowboard
20150416;510.06;Calcio
20150416;2270.26;Casual
20150416;2469.74;Pesca
20150417;297.36;Basket
20150417;144.14;Calcio
20150417;1299.30;Casual
20150417;2295.45;Fitness
20150417;523.68;Mare
20150417;82.19;Nuoto
20150417;717.38;Pesca
20150417;1618.96;Snowboard
20150417;49.44;Tennis
20150418;247.39;Bambino
20150418;494.77;Basket
20150418;407.63;Calcio
20150418;1082.06;Casual
20150418;3117.12;Fitness
20150418;1160.53;Pesca
20150418;1552.47;Running
20150418;309.34;Sci
20150418;578.20;Snowboard
20150418;185.85;Trekking
20150418;268.45;Volley
20150419;619.09;Basket
20150419;1784.16;Calcio
20150419;6271.41;Casual
20150419;610.00;Fitness
20150419;133.81;Mare
20150419;3792.99;Pesca
20150419;499.73;Running
20150419;1032.50;Snowboard
20150420;1674.30;Calcio
20150420;6950.79;Casual
20150420;1950.89;Fitness
20150420;123.49;Mare
20150420;1554.33;Pesca
20150420;574.07;Running
20150420;2370.62;Snowboard
20150420;861.93;Trekking
20150421;288.69;Basket
20150421;1630.94;Calcio
20150421;3739.72;Casual
20150421;845.00;Fitness
20150421;313.47;Mare
20150421;160.24;Nuoto
20150421;1414.53;Pesca
20150421;3175.56;Sci
20150421;920.58;Snowboard
20150422;900.34;Bambino
20150422;371.29;Basket
20150422;873.50;Calcio
20150422;4874.23;Casual
20150422;2101.76;Fitness
20150422;65.67;Mare
20150422;1228.47;Pesca
20150422;642.63;Running
20150422;412.59;Sci
20150422;106.84;Tennis
20150422;268.04;Trekking
20150423;123.49;Bambino
20150423;199.36;Basket
20150423;1319.95;Calcio
20150423;5542.05;Casual
20150423;17.35;Ciclismo
20150423;2541.19;Fitness
20150423;1600.17;Pesca
20150423;465.04;Running
20150424;177.18;Calcio
20150424;3987.10;Casual
20150424;1358.36;Fitness
20150424;53.28;Nuoto
20150424;663.90;Pesca
20150424;817.74;Snowboard
20150425;28.50;Arti marziali
20150425;247.39;Bambino
20150425;309.34;Calcio
20150425;2247.96;Casual
20150425;1336.47;Fitness
20150425;313.47;Mare
20150425;916.03;Pesca
20150425;895.80;Running
20150425;264.32;Snowboard
20150426;1030.02;Calcio
20150426;4148.59;Casual
20150426;895.67;Fitness
20150426;1278.65;Pesca
20150426;614.96;Running
20150426;107.38;Subacquea
20150427;557.14;Basket
20150427;123.49;Calcio
20150427;5652.32;Casual
20150427;3002.10;Fitness
20150427;313.47;Mare
20150427;1431.66;Pesca
20150427;1263.78;Running
20150427;1478.54;Snowboard
20150428;103.25;Basket
20150428;729.77;Calcio
20150428;3979.67;Casual
20150428;40.89;Ciclismo
20150428;1300.00;Fitness
20150428;1838.68;Pesca
20150428;640.15;Running
20150428;1858.50;Snowboard
20150429;565.81;Basket
20150429;370.87;Calcio
20150429;2744.39;Casual
20150429;619.09;Fitness
20150429;1345.97;Pesca
20150429;1255.52;Running
20150429;449.76;Snowboard
