Date,Total Sales,Sector,Day,Month,Year
2015-04-13,681.04,Calcio,13,4,2015
2015-04-13,1239.0,Running,13,4,2015
2015-04-14,497.67,Calcio,14,4,2015
2015-04-14,742.57,Casual,14,4,2015
2015-04-14,570.77,Pesca,14,4,2015
2015-04-15,748.36,Pesca,15,4,2015
2015-04-15,4101.09,Casual,15,4,2015
2015-04-15,664.52,Calcio,15,4,2015
2015-04-15,136.29,Snowboard,15,4,2015
2015-04-15,1957.62,Running,15,4,2015
2015-04-16,510.06,Calcio,16,4,2015
2015-04-16,2270.26,Casual,16,4,2015
2015-04-16,2469.74,Pesca,16,4,2015
2015-04-17,1299.3,Casual,17,4,2015
2015-04-17,297.36,Basket,17,4,2015
2015-04-17,144.14,Calcio,17,4,2015
2015-04-17,2295.45,Fitness,17,4,2015
2015-04-17,1618.96,Snowboard,17,4,2015
2015-04-17,82.19,Nuoto,17,4,2015
2015-04-17,717.38,Pesca,17,4,2015
2015-04-17,49.44,Tennis,17,4,2015
2015-04-17,523.68,Mare,17,4,2015
2015-04-18,1082.06,Casual,18,4,2015
2015-04-18,3117.12,Fitness,18,4,2015
2015-04-18,494.77,Basket,18,4,2015
2015-04-18,407.63,Calcio,18,4,2015
2015-04-18,247.39,Bambino,18,4,2015
2015-04-18,268.45,Volley,18,4,2015
2015-04-18,1552.47,Running,18,4,2015
2015-04-18,309.34,Sci,18,4,2015
2015-04-18,578.2,Snowboard,18,4,2015
2015-04-18,185.85,Trekking,18,4,2015
2015-04-18,1160.53,Pesca,18,4,2015
2015-04-19,499.73,Running,19,4,2015
2015-04-19,6271.41,Casual,19,4,2015
2015-04-19,1032.5,Snowboard,19,4,2015
2015-04-19,3792.99,Pesca,19,4,2015
2015-04-19,619.09,Basket,19,4,2015
2015-04-19,610.0,Fitness,19,4,2015
2015-04-19,1784.16,Calcio,19,4,2015
2015-04-19,133.81,Mare,19,4,2015
2015-04-20,123.49,Mare,20,4,2015
2015-04-20,1674.3,Calcio,20,4,2015
2015-04-20,6950.79,Casual,20,4,2015
2015-04-20,1950.89,Fitness,20,4,2015
2015-04-20,1554.33,Pesca,20,4,2015
2015-04-20,574.07,Running,20,4,2015
2015-04-20,2370.62,Snowboard,20,4,2015
2015-04-20,861.93,Trekking,20,4,2015
2015-04-21,3175.56,Sci,21,4,2015
2015-04-21,1414.53,Pesca,21,4,2015
2015-04-21,160.24,Nuoto,21,4,2015
2015-04-21,313.47,Mare,21,4,2015
2015-04-21,845.0,Fitness,21,4,2015
2015-04-21,1630.94,Calcio,21,4,2015
2015-04-21,288.69,Basket,21,4,2015
2015-04-21,920.58,Snowboard,21,4,2015
2015-04-21,3739.72,Casual,21,4,2015
2015-04-22,873.5,Calcio,22,4,2015
2015-04-22,2101.76,Fitness,22,4,2015
2015-04-22,900.34,Bambino,22,4,2015
2015-04-22,371.29,Basket,22,4,2015
2015-04-22,4874.23,Casual,22,4,2015
2015-04-22,412.59,Sci,22,4,2015
2015-04-22,65.67,Mare,22,4,2015
2015-04-22,106.84,Tennis,22,4,2015
2015-04-22,268.04,Trekking,22,4,2015
2015-04-22,642.63,Running,22,4,2015
2015-04-22,1228.47,Pesca,22,4,2015
2015-04-23,5542.05,Casual,23,4,2015
2015-04-23,199.36,Basket,23,4,2015
2015-04-23,1319.95,Calcio,23,4,2015
2015-04-23,123.49,Bambino,23,4,2015
2015-04-23,2541.19,Fitness,23,4,2015
2015-04-23,465.04,Running,23,4,2015
2015-04-23,1600.17,Pesca,23,4,2015
2015-04-23,17.35,Ciclismo,23,4,2015
2015-04-24,663.9,Pesca,24,4,2015
2015-04-24,177.18,Calcio,24,4,2015
2015-04-24,3987.1,Casual,24,4,2015
2015-04-24,1358.36,Fitness,24,4,2015
2015-04-24,53.28,Nuoto,24,4,2015
2015-04-24,817.74,Snowboard,24,4,2015
2015-04-25,309.34,Calcio,25,4,2015
2015-04-25,2247.96,Casual,25,4,2015
2015-04-25,247.39,Bambino,25,4,2015
2015-04-25,313.47,Mare,25,4,2015
2015-04-25,28.5,Arti marziali,25,4,2015
2015-04-25,264.32,Snowboard,25,4,2015
2015-04-25,916.03,Pesca,25,4,2015
2015-04-25,895.8,Running,25,4,2015
2015-04-25,1336.47,Fitness,25,4,2015
2015-04-26,1030.02,Calcio,26,4,2015
2015-04-26,4148.59,Casual,26,4,2015
2015-04-26,895.67,Fitness,26,4,2015
2015-04-26,1278.65,Pesca,26,4,2015
2015-04-26,614.96,Running,26,4,2015
2015-04-26,107.38,Subacquea,26,4,2015
2015-04-27,313.47,Mare,27,4,2015
2015-04-27,123.49,Calcio,27,4,2015
2015-04-27,3002.1,Fitness,27,4,2015
2015-04-27,557.14,Basket,27,4,2015
2015-04-27,1263.78,Running,27,4,2015
2015-04-27,1478.54,Snowboard,27,4,2015
2015-04-27,5652.32,Casual,27,4,2015
